OBJECTID_1;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstig;STRZUSTAND;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
1194;1;0;55;12;2018;3;5;5;3;8;1;2;0;1;0;0;0;0;2;603519.7636;5998428.0321;10.584016968;54.123553421
1195;1;0;2;0;2018;3;8;1;3;2;6;0;0;1;0;0;0;0;1;574050.1709;6019742.14;10.13845986;54.320166723
1196;1;0;62;9;2018;2;6;3;3;3;6;0;0;1;0;0;1;0;0;576966.4213;5935342.4965;10.162012627;53.56130978
1197;1;0;3;0;2018;3;21;4;3;5;2;2;1;1;0;0;0;0;0;611247.92;5969109.957;10.691503424;53.858546419
1198;1;0;62;60;2018;3;12;1;3;5;3;0;1;1;0;0;0;0;0;582697.389;5934367.918;10.248257185;53.551680079
1199;1;0;4;0;2018;3;12;1;3;5;3;0;0;1;0;0;0;0;0;562662.2953;5991785.1558;9.957584808;54.070460067
1200;1;0;55;17;2018;3;4;3;1;4;6;2;0;1;0;0;0;0;1;633425.2225;6026654.0749;11.053892006;54.370185488
1201;1;0;51;10;2018;2;11;2;3;9;1;0;0;1;0;0;0;0;1;515715.3093;5984309.054;9.239786558;54.006837871
1202;1;0;58;67;2018;3;6;5;3;8;1;1;0;1;0;0;0;0;2;543658.7776;6036068.9454;9.673665008;54.47039475
1203;1;0;62;81;2018;2;17;2;3;3;6;0;0;0;0;0;1;1;1;587070.4706;5955641.7405;10.320205345;53.742141197
