ULAND;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;IstRad;IstPKW;IstFuss;IstKrad;IstSonstig;LICHT;STRZUSTAND;XGCSWGS84;YGCSWGS84
2;2017;3;6;2;2;9;1;0;1;0;0;1;0;0;8.07553338;52.79287068
2;2017;3;15;2;3;5;3;1;0;0;0;1;0;0;8.111043428;53.40885267
2;2017;3;9;2;3;2;6;0;1;0;0;1;0;0;8.589222661;53.21945264
2;2017;3;18;2;2;2;6;0;1;0;0;0;0;0;9.229141813;52.92606038
2;2017;3;15;2;2;5;3;0;1;0;0;1;0;0;8.176487773;53.24206575
2;2017;3;17;2;3;5;3;1;1;0;0;0;0;0;7.917380367;53.25311768
2;2017;3;9;2;3;2;6;0;1;0;0;0;0;0;8.226311685;53.21592702
2;2017;3;8;2;3;6;3;0;1;1;0;0;0;0;7.9966743;53.17992567
2;2017;3;14;2;2;9;1;0;0;0;1;0;0;0;8.69552941;52.74199006
2;2017;3;10;2;3;2;6;0;1;0;0;0;0;0;8.630858802;53.49525819
2;2017;3;13;2;3;2;6;0;1;0;0;0;0;0;8.596963341;53.47116013
2;2017;3;20;2;3;2;6;0;1;0;0;0;2;0;10.02458258;53.39608974
2;2017;3;18;2;3;5;3;0;1;0;0;0;1;0;9.729159198;53.50789057
2;2017;3;10;2;3;5;3;0;1;0;0;1;0;1;9.366427067;53.60236409
2;2017;3;10;2;2;2;6;0;0;0;0;1;0;0;9.696976205;52.66620518
2;2017;3;13;2;3;6;4;0;1;1;0;0;0;0;9.58681618;52.86493843
2;2017;3;13;2;3;5;3;1;1;0;0;0;0;0;9.41230227;53.1095745
2;2017;3;14;2;2;5;3;1;0;0;1;0;0;0;9.41230227;53.1095745
2;2017;3;4;2;2;9;7;0;1;0;0;0;2;0;11.05255733;53.00758317
2;2017;3;14;2;3;2;6;0;1;0;0;1;0;0;9.720548255;52.3385131
2;2017;3;13;2;3;5;3;1;1;0;0;0;0;0;9.697142414;52.3749749
2;2017;3;13;2;3;2;6;0;1;0;0;0;0;0;9.708343299;52.42249195
2;2017;3;16;2;3;2;6;0;1;0;0;1;0;0;9.733541453;52.38437234
2;2017;3;8;2;3;2;6;0;1;0;0;0;0;0;9.794162594;52.35065426
2;2017;3;13;2;2;8;7;0;1;0;0;0;0;0;9.726335511;52.51603499
2;2017;3;13;2;3;5;3;1;1;0;0;0;0;0;9.732923923;52.42360346
2;2017;3;10;2;2;6;7;0;0;1;0;1;0;0;9.664816578;52.38432028
2;2017;3;10;2;3;3;6;0;1;0;0;1;0;0;9.815115943;52.40235777
2;2017;3;12;2;3;8;6;0;0;0;0;1;0;0;9.272536945;52.57657767
